cps,name,pollutant,pathway,min,mean,max
340,Cover Crop,TN,surface,0.15,0.35,0.55
340,Cover Crop,TN,shallow subsurface,0.20,0.45,0.70
340,Cover Crop,TN,deep subsurface,0.10,0.25,0.40
340,Cover Crop,TP,surface,0.20,0.40,0.65
340,Cover Crop,TP,shallow subsurface,-0.20,0.10,0.30
340,Cover Crop,TP,deep subsurface,0.00,0.05,0.15
340,Cover Crop,TSS,surface,0.40,0.60,0.85
340,Cover Crop,TSS,shallow subsurface,0.05,0.15,0.30
340,Cover Crop,TSS,deep subsurface,0.00,0.00,0.00
329,Residue and Tillage Management No Till,TN,surface,0.05,0.15,0.25
329,Residue and Tillage Management No Till,TN,shallow subsurface,-0.10,0.05,0.15
329,Residue and Tillage Management No Till,TN,deep subsurface,0.00,0.05,0.10
329,Residue and Tillage Management No Till,TP,surface,0.30,0.50,0.70
329,Residue and Tillage Management No Till,TP,shallow subsurface,-0.30,-0.05,0.15
329,Residue and Tillage Management No Till,TP,deep subsurface,0.00,0.02,0.10
329,Residue and Tillage Management No Till,TSS,surface,0.50,0.70,0.90
329,Residue and Tillage Management No Till,TSS,shallow subsurface,0.00,0.05,0.10
329,Residue and Tillage Management No Till,TSS,deep subsurface,0.00,0.00,0.00
590,Nutrient Management,TN,surface,0.15,0.30,0.45
590,Nutrient Management,TN,shallow subsurface,0.20,0.40,0.60
590,Nutrient Management,TN,deep subsurface,0.15,0.35,0.50
590,Nutrient Management,TP,surface,0.20,0.40,0.60
590,Nutrient Management,TP,shallow subsurface,0.10,0.25,0.45
590,Nutrient Management,TP,deep subsurface,0.05,0.15,0.30
590,Nutrient Management,TSS,surface,0.00,0.05,0.15
590,Nutrient Management,TSS,shallow subsurface,0.00,0.00,0.05
590,Nutrient Management,TSS,deep subsurface,0.00,0.00,0.00
412,Grassed Waterway,TN,surface,0.10,0.20,0.35
412,Grassed Waterway,TN,shallow subsurface,0.00,0.05,0.15
412,Grassed Waterway,TN,deep subsurface,0.00,0.00,0.05
412,Grassed Waterway,TP,surface,0.20,0.35,0.55
412,Grassed Waterway,TP,shallow subsurface,-0.05,0.10,0.20
412,Grassed Waterway,TP,deep subsurface,0.00,0.02,0.05
412,Grassed Waterway,TSS,surface,0.40,0.65,0.80
412,Grassed Waterway,TSS,shallow subsurface,0.05,0.15,0.25
412,Grassed Waterway,TSS,deep subsurface,0.00,0.00,0.00
656,Constructed Wetland,TN,surface,0.25,0.45,0.70
656,Constructed Wetland,TN,shallow subsurface,0.15,0.30,0.50
656,Constructed Wetland,TN,deep subsurface,0.05,0.15,0.25
656,Constructed Wetland,TP,surface,0.30,0.50,0.75
656,Constructed Wetland,TP,shallow subsurface,0.10,0.25,0.45
656,Constructed Wetland,TP,deep subsurface,0.00,0.10,0.20
656,Constructed Wetland,TSS,surface,0.50,0.75,0.90
656,Constructed Wetland,TSS,shallow subsurface,0.20,0.40,0.60
656,Constructed Wetland,TSS,deep subsurface,0.00,0.00,0.00
391,Riparian Forest Buffer,TN,surface,0.30,0.50,0.75
391,Riparian Forest Buffer,TN,shallow subsurface,0.40,0.65,0.85
391,Riparian Forest Buffer,TN,deep subsurface,0.20,0.40,0.60
391,Riparian Forest Buffer,TP,surface,0.40,0.60,0.80
391,Riparian Forest Buffer,TP,shallow subsurface,0.20,0.45,0.70
391,Riparian Forest Buffer,TP,deep subsurface,0.05,0.15,0.30
391,Riparian Forest Buffer,TSS,surface,0.60,0.80,0.95
391,Riparian Forest Buffer,TSS,shallow subsurface,0.10,0.30,0.50
391,Riparian Forest Buffer,TSS,deep subsurface,0.00,0.00,0.00
606,Subsurface Drain,TN,surface,-0.15,-0.05,0.05
606,Subsurface Drain,TN,shallow subsurface,0.10,0.25,0.45
606,Subsurface Drain,TN,deep subsurface,-0.05,0.05,0.15
606,Subsurface Drain,TP,surface,-0.20,-0.05,0.10
606,Subsurface Drain,TP,shallow subsurface,0.15,0.35,0.55
606,Subsurface Drain,TP,deep subsurface,0.00,0.05,0.15
606,Subsurface Drain,TSS,surface,-0.10,0.00,0.10
606,Subsurface Drain,TSS,shallow subsurface,0.30,0.55,0.75
606,Subsurface Drain,TSS,deep subsurface,0.00,0.00,0.00

