pid,pollutant,min,p10,p25,p50,p75,p90,max
1,TN,0,8,15,25,40,70,150
2,TN,0,8,15,25,40,70,150
3,TN,0,8,15,25,40,70,150
4,TN,0,8,15,25,40,70,150
5,TN,0,8,15,25,40,70,150
6,TN,0,8,15,25,40,70,150
7,TN,0,8,15,25,40,70,150
8,TN,0,8,15,25,40,70,150
9,TN,0,8,15,25,40,70,150
10,TN,0,8,15,25,40,70,150
11,TN,0,8,15,25,40,70,150
12,TN,0,8,15,25,40,70,150
13,TN,0,8,15,25,40,70,150
14,TN,0,8,15,25,40,70,150
15,TN,0,8,15,25,40,70,150
16,TN,0,8,15,25,40,70,150
17,TN,0,8,15,25,40,70,150
18,TN,0,8,15,25,40,70,150
19,TN,0,8,15,25,40,70,150
20,TN,0,8,15,25,40,70,150
21,TN,0,8,15,25,40,70,150
22,TN,0,8,15,25,40,70,150
23,TN,0,8,15,25,40,70,150
24,TN,0,8,15,25,40,70,150
25,TN,0,8,15,25,40,70,150
26,TN,0,8,15,25,40,70,150
27,TN,0,8,15,25,40,70,150
28,TN,0,8,15,25,40,70,150
29,TN,0,8,15,25,40,70,150
30,TN,0,8,15,25,40,70,150
31,TN,0,8,15,25,40,70,150
32,TN,0,8,15,25,40,70,150
33,TN,0,8,15,25,40,70,150
34,TN,0,8,15,25,40,70,150
35,TN,0,8,15,25,40,70,150
36,TN,0,8,15,25,40,70,150
37,TN,0,8,15,25,40,70,150
38,TN,0,8,15,25,40,70,150
39,TN,0,8,15,25,40,70,150
40,TN,0,8,15,25,40,70,150
41,TN,0,8,15,25,40,70,150
42,TN,0,8,15,25,40,70,150
43,TN,0,8,15,25,40,70,150
44,TN,0,8,15,25,40,70,150
45,TN,0,8,15,25,40,70,150
46,TN,0,8,15,25,40,70,150
47,TN,0,8,15,25,40,70,150
48,TN,0,8,15,25,40,70,150
49,TN,0,8,15,25,40,70,150
50,TN,0,8,15,25,40,70,150
51,TN,0,8,15,25,40,70,150
52,TN,0,8,15,25,40,70,150
53,TN,0,8,15,25,40,70,150
54,TN,0,8,15,25,40,70,150
55,TN,0,8,15,25,40,70,150
56,TN,0,8,15,25,40,70,150
57,TN,0,8,15,25,40,70,150
58,TN,0,8,15,25,40,70,150
59,TN,0,8,15,25,40,70,150
60,TN,0,8,15,25,40,70,150
61,TN,0,8,15,25,40,70,150
62,TN,0,8,15,25,40,70,150
63,TN,0,8,15,25,40,70,150
64,TN,0,8,15,25,40,70,150
65,TN,0,8,15,25,40,70,150
66,TN,0,8,15,25,40,70,150
67,TN,0,8,15,25,40,70,150
68,TN,0,8,15,25,40,70,150
69,TN,0,8,15,25,40,70,150
70,TN,0,8,15,25,40,70,150
71,TN,0,8,15,25,40,70,150
72,TN,0,8,15,25,40,70,150
73,TN,0,8,15,25,40,70,150
74,TN,0,8,15,25,40,70,150
75,TN,0,8,15,25,40,70,150
76,TN,0,8,15,25,40,70,150
77,TN,0,8,15,25,40,70,150
78,TN,0,8,15,25,40,70,150
79,TN,0,8,15,25,40,70,150
80,TN,0,8,15,25,40,70,150
81,TN,0,8,15,25,40,70,150
82,TN,0,8,15,25,40,70,150
83,TN,0,8,15,25,40,70,150
84,TN,0,8,15,25,40,70,150
85,TN,0,8,15,25,40,70,150
86,TN,0,8,15,25,40,70,150
87,TN,0,8,15,25,40,70,150
88,TN,0,8,15,25,40,70,150
89,TN,0,8,15,25,40,70,150
90,TN,0,8,15,25,40,70,150
91,TN,0,8,15,25,40,70,150
92,TN,0,8,15,25,40,70,150
93,TN,0,8,15,25,40,70,150
94,TN,0,8,15,25,40,70,150
