BMP Name,Landuse Type,Pollutant,Mean,Min,Max,References
Bioreactor,Cropland,TN,0.45,0.13,0.72,"Christianson et al. 2016; Husk et al. 2017; Woli et al. 2010; DeBoe et al. 2017; Tetra Tech 2016"
Buffer - Forest (100ft wide),Cropland,TN,0.49,0.19,0.92,"Udawatta et al. 2018; Jontos 2004; Lee et al. 2003; USEPA 2010"
Buffer - Forest (100ft wide),Cropland,TP,0.47,0.080,0.93,"Merriman et al. 2009; Udawatta et al. 2018; Jontos 2004; Lee et al. 2003; USEPA 2010; Jontos 2004"
Buffer - Forest (100ft wide),Cropland,Sediment,0.60,0.19,0.95,"Udawatta et al. 2018; Schmitt et al. 1999; Yuan et al. 2009; Lee et al. 2003; USEPA 2010"
Buffer - Grass (35ft wide),Cropland,TN,0.34,0.13,0.46,USEPA 2010
Buffer - Grass (35ft wide),Cropland,TP,0.44,0.30,0.47,USEPA 2010
Buffer - Grass (35ft wide),Cropland,Sediment,0.53,0.40,0.60,USEPA 2010
Conservation Tillage 1 (30-59% Residue),Cropland,TN,0.070,0.040,0.10,CBP 2016a
Conservation Tillage 1 (30-59% Residue),Cropland,TP,0.36,0.020,0.60,CBP 2016a
Conservation Tillage 1 (30-59% Residue),Cropland,Sediment,0.46,0.41,0.50,"Christianson et al. 2016; CBP 2016a"
Conservation Tillage 2 (equal or more than 60% Residue),Cropland,TN,0.13,0.12,0.14,CBP 2016a
Conservation Tillage 2 (equal or more than 60% Residue),Cropland,TP,0.69,0.11,0.90,"Christianson et al. 2016; CBP 2016a"
Conservation Tillage 2 (equal or more than 60% Residue),Cropland,Sediment,0.79,0.79,0.79,CBP 2016a
Controlled Drainage,Cropland,TN,0.39,0.33,0.45,"Christianson et al. 2016; Evans et al. 1996"
Controlled Drainage,Cropland,TP,0.35,0.35,0.35,Evans et al. 1996
Cover Crop 1 (Group A Commodity) (High Till only for Sediment),Cropland,TN,0.0078,0,0.013,"CBP 2015; CBP 2017"
Cover Crop 2 (Group A Traditional Normal Planting Time) (High Till only for TP and Sediment),Cropland,TN,0.20,0.20,0.20,"CBP 2015; CBP 2017"
Cover Crop 2 (Group A Traditional Normal Planting Time) (High Till only for TP and Sediment),Cropland,TP,0.070,0.070,0.070,"CBP 2015; CBP 2017"
Cover Crop 2 (Group A Traditional Normal Planting Time) (High Till only for TP and Sediment),Cropland,Sediment,0.10,0.10,0.10,"CBP 2015; CBP 2017"
Cover Crop 3 (Group A Traditional Early Planting Time) (High Till only for TP and Sediment),Cropland,TN,0.20,0.20,0.20,"CBP 2015; CBP 2017"
Cover Crop 3 (Group A Traditional Early Planting Time) (High Till only for TP and Sediment),Cropland,TP,0.15,0.15,0.15,"CBP 2015; CBP 2017"
Cover Crop 3 (Group A Traditional Early Planting Time) (High Till only for TP and Sediment),Cropland,Sediment,0.20,0.20,0.20,"CBP 2015; CBP 2017"
Land Retirement,Cropland,TN,0.90,0.83,0.96,"Evans, Lehning and Corradini 2003; Christianson et al. 2016"
Land Retirement,Cropland,TP,0.81,0.56,0.98,"Evans, Lehning and Corradini 2003; Christianson et al. 2016"
Land Retirement,Cropland,Sediment,0.95,0.92,0.98,Evans, Lehning and Corradini 2003
Nutrient Management 1 (Determined Rate),Cropland,TN,0.15,0.15,0.15,CBP 2016b
Nutrient Management 1 (Determined Rate),Cropland,TP,0.45,0.45,0.45,"Christianson et al. 2016; USEPA 1993; USEPA 2010"
