field,s1-All CPS,s1-Constructed Wetland(656),s1-Cover Crop(340),s1-Grassed Waterway(412),s1-Nutrient Management(590),s1-Residue Management (No-Till)(329),s2-All CPS,s2-Constructed Wetland(656),s2-Cover Crop(340),s2-Nutrient Management(590),s2-Residue Management (No-Till)(329),s3-All CPS,s3-Constructed Wetland(656),s3-Cover Crop(340),s3-Grassed Waterway(412),s3-Nutrient Management(590),s3-Residue Management (No-Till)(329),s4-All CPS,s4-Constructed Wetland(656),s4-Cover Crop(340),s4-Grassed Waterway(412),s4-Nutrient Management(590),s4-Residue Management (No-Till)(329),s5-All CPS,s5-Constructed Wetland(656),s5-Cover Crop(340),s5-Nutrient Management(590),s5-Residue Management (No-Till)(329)
bmp_count,1000,3,196,1,316,484,1000,8,209,310,473,1000,5,191,1,310,493,1000,11,185,1,307,496,1000,4,186,308,502
buffer_area_ha_count,1.0,,,1.0,,,,,,,,1.0,,,1.0,,,1.0,,,1.0,,,,,,,
buffer_area_ha_max,0.23008510508761187,,,0.23008510508761187,,,,,,,,0.4388653746205995,,,0.4388653746205995,,,1.2166195372266646,,,1.2166195372266646,,,,,,,
buffer_area_ha_mean,0.23008510508761187,,,0.23008510508761187,,,,,,,,0.4388653746205995,,,0.4388653746205995,,,1.2166195372266646,,,1.2166195372266646,,,,,,,
buffer_area_ha_min,0.23008510508761187,,,0.23008510508761187,,,,,,,,0.4388653746205995,,,0.4388653746205995,,,1.2166195372266646,,,1.2166195372266646,,,,,,,
buffer_area_ha_p25,0.23008510508761187,,,0.23008510508761187,,,,,,,,0.4388653746205995,,,0.4388653746205995,,,1.2166195372266646,,,1.2166195372266646,,,,,,,
buffer_area_ha_p50,0.23008510508761187,,,0.23008510508761187,,,,,,,,0.4388653746205995,,,0.4388653746205995,,,1.2166195372266646,,,1.2166195372266646,,,,,,,
buffer_area_ha_p75,0.23008510508761187,,,0.23008510508761187,,,,,,,,0.4388653746205995,,,0.4388653746205995,,,1.2166195372266646,,,1.2166195372266646,,,,,,,
buffer_area_ha_std,,,,,,,,,,,,,,,,,,,,,,,,,,,,
catchment_ratio_count,3.0,3.0,,,,,8.0,8.0,,,,5.0,5.0,,,,,11.0,11.0,,,,,4.0,4.0,,,
catchment_ratio_max,3.559643646354219,3.559643646354219,,,,,40.499703208179994,40.499703208179994,,,,28.295266762141313,28.295266762141313,,,,,43.099911220136235,43.099911220136235,,,,,17.129387954465717,17.129387954465717,,,
catchment_ratio_mean,2.6573133148948327,2.6573133148948327,,,,,9.33696001809983,9.33696001809983,,,,10.358761885645368,10.358761885645368,,,,,8.690336300046452,8.690336300046452,,,,,6.161998046441668,6.161998046441668,,,
catchment_ratio_min,1.4253917406915844,1.4253917406915844,,,,,1.3081088075896243,1.3081088075896243,,,,1.3363887572516608,1.3363887572516608,,,,,1.4407573865858967,1.4407573865858967,,,,,1.084746216951026,1.084746216951026,,,
catchment_ratio_p25,2.20614814916514,2.20614814916514,,,,,3.31942716967823,3.31942716967823,,,,1.4727644339089343,1.4727644339089343,,,,,1.9778243181409239,1.9778243181409239,,,,,1.6963121100336451,1.6963121100336451,,,
