field,s3-Residue Management (No-Till)(329),s3-Cover Crop(340),s3-Grassed Waterway(412),s3-Nutrient Management(590),s3-Constructed Wetland(656),s3-All CPS
scenario,3,3,3,3,3,3
cps,329,340,412,590,656,0
cps_name,Residue Management (No-Till),Cover Crop,Grassed Waterway,Nutrient Management,Constructed Wetland,All CPS
bmp_count,493,191,1,310,5,1000
failures_count,118,54,0,74,0,246
treated_TN_count,493,191,1,310,5,1000
treated_TN_mean,706.2298905181024,627.6022845169332,129.7768849401495,775.0986797226445,105.69882013958343,708.9822340678165
treated_TN_std,1256.8204554326865,763.5194852146273,,1282.6587266452325,79.97656935566066,1184.273149013197
treated_TN_min,0.00401268476388798,0.19979640160707537,129.7768849401495,0.09726678192649596,6.0481838265363566,0.00401268476388798
treated_TN_p25,145.4263580681783,153.76919194462005,129.7768849401495,163.12467975168948,45.59140223920892,148.53949238272455
treated_TN_p50,329.27366440092374,353.94230010492964,129.7768849401495,325.83847072627157,123.01299198506256,326.11956963056457
treated_TN_p75,739.3400886440726,849.5677385002406,129.7768849401495,858.3166674525447,148.6635036661239,789.4828101747639
treated_TN_max,15513.990165274914,5172.133006587147,129.7768849401495,14906.069351530163,205.17801898098546,15513.990165274914
removed_TN_count,493,191,1,310,5,1000
removed_TN_mean,53.34951038874812,182.41854477433202,16.177457825123714,220.753766169967,34.0041127989805,129.76311620806004
removed_TN_std,115.11415864529734,278.68001556191183,,414.3191291542809,25.945089721064647,283.61104941232554
removed_TN_min,0.00011603176573754797,0.017769810640912608,16.177457825123714,0.03701385837165845,1.2712607469739714,0.00011603176573754797
removed_TN_p25,7.248600059835007,29.541394653495693,16.177457825123714,33.199687644748366,13.506454237401133,12.839914567183172
removed_TN_p50,19.7019704193924,82.00693162525815,16.177457825123714,92.19486365884529,43.82864354909573,43.621069523403136
removed_TN_p75,53.55196661812074,202.46986217910012,16.177457825123714,212.06744575211604,46.69499520370613,121.85738367581789
removed_TN_max,1640.5651802722787,2133.508415669638,16.177457825123714,4486.16001572557,64.71921025772556,4486.16001572557
treated_TP_count,493,191,1,310,5,1000
treated_TP_mean,57.1626520000312,41.51471614080789,18.21579950269394,51.483376316601536,4.178212956761616,52.10945174134267
treated_TP_std,127.20723340114348,60.74220765576058,,99.13049875160533,2.7395186359131065,108.43193738479856
treated_TP_min,0.0015710198485327195,0.08531046214000189,18.21579950269394,0.006069579459676134,0.5033010734812274,0.0015710198485327195
treated_TP_p25,6.81712498696273,7.849697485836917,18.21579950269394,7.615705392249669,2.8235153528523256,7.214228671136639
treated_TP_p50,18.092644945032582,19.774256200512927,18.21579950269394,19.773620564179645,4.534657703460908,18.846098734253275
treated_TP_p75,57.50823138930643,52.510386356181016,18.21579950269394,47.3827169153768,5.166949031093024,53.02191371183041
treated_TP_max,2034.4584784715114,430.88958675044245,18.21579950269394,929.7738855360375,7.862641622920596,2034.4584784715114
removed_TP_count,493,191,1,310,5,1000
removed_TP_mean,8.805336238657366,6.5301913828063345,2.4778645014575753,11.07580375249651,1.198341182921455,9.030266053464075
removed_TP_std,23.84981819363296,12.34319924891535,,25.231739384212815,0.7794634977582562,22.55886908552477
removed_TP_min,4.819338431827113e-05,0.0035189562488383364,2.4778645014575753,0.0017710122534479635,0.11735353359872726,4.819338431827113e-05
removed_TP_p25,0.8637502317976175,0.8220505172195138,2.4778645014575753,1.4338315384505413,0.9033233645322988,0.9800115755244945
removed_TP_p50,2.61345359906647,2.4041472224879974,2.4778645014575753,3.7444571719330786,1.2581532241398068,2.8106775516524367
removed_TP_p75,8.6218706561137,6.6249569676795925,2.4778645014575753,9.275381674410246,1.4659743780595071,8.628309526216368
removed_TP_max,420.85811378795387,102.13966994288866,2.4778645014575753,242.12556031597938,2.246901414276935,420.85811378795387
efficiency_TN_count,493,191,1,310,5,1000
efficiency_TN_mean,0.9878694566530226,0.9807145479349433,1.0,0.9862203764057652,0.8430616421068283,0.9852797456818357
efficiency_TN_std,0.09513935385433285,0.1180260083497949,,0.10074346416009544,0.3509248365263223,0.1041562719003022
efficiency_TN_min,0.0005717241066235435,0.04830599776475131,1.0,0.009030775189038205,0.21530821053414215,0.0005717241066235435
efficiency_TN_p25,1.0,1.0,1.0,1.0,1.0,1.0
efficiency_TN_p50,1.0,1.0,1.0,1.0,1.0,1.0
efficiency_TN_p75,1.0,1.0,1.0,1.0,1.0,1.0
efficiency_TN_max,1.0,1.0,1.0,1.0,1.0,1.0
efficiency_TP_count,493,191,1,310,5,1000
efficiency_TP_mean,0.9880722471306891,0.9809931115381708,1.0,0.9862811120134677,0.8550336627972218,0.9855116151773814
efficiency_TP_std,0.09428626338601101,0.11674183772214285,,0.10064871457789745,0.3241545844345685,0.10303914713226167
efficiency_TP_min,0.0005717241066235435,0.049903870058206484,1.0,0.009030775189038205,0.2751683139861096,0.0005717241066235435
efficiency_TP_p25,1.0,1.0,1.0,1.0,1.0,1.0
efficiency_TP_p50,1.0,1.0,1.0,1.0,1.0,1.0
efficiency_TP_p75,1.0,1.0,1.0,1.0,1.0,1.0
efficiency_TP_max,1.0,1.0,1.0,1.0,1.0,1.0
cost_usd_count,493,191,1,310,5,1000
cost_usd_mean,815.1209304254442,2858.473406102501,80394.56239041196,1625.822937735115,55743.274912891284,1810.9390869180759
cost_usd_std,856.898560606904,3025.9593612496246,,2002.205055951105,48252.80937904883,5840.815848918301
cost_usd_min,0.01740615359467305,7.062243650631251,80394.56239041196,0.4924960720959726,14883.037023918361,0.01740615359467305
cost_usd_p25,340.3046301571969,1106.0116113195504,80394.56239041196,596.2691136884627,23818.24815026938,449.9780083716723
cost_usd_p50,584.2852252860187,1929.4484337010156,80394.56239041196,1026.047733096992,38294.27956703848,877.1395610423658
cost_usd_p75,998.8942856641875,3567.941127323265,80394.56239041196,1841.8209813608896,67326.91567680216,1647.3247925921096
cost_usd_max,6427.272353738018,25736.160035188037,80394.56239041196,20689.913380460308,134393.894146428,134393.894146428
total_cost_usd,401854.618699744,545968.4205655777,80394.56239041196,504005.1106978856,278716.3745644564,1810939.0869180758
buffer_area_ha_count,,,1.0,,,1.0
buffer_area_ha_mean,,,0.4388653746205995,,,0.4388653746205995
buffer_area_ha_std,,,,,,
buffer_area_ha_min,,,0.4388653746205995,,,0.4388653746205995
buffer_area_ha_p25,,,0.4388653746205995,,,0.4388653746205995
buffer_area_ha_p50,,,0.4388653746205995,,,0.4388653746205995
buffer_area_ha_p75,,,0.4388653746205995,,,0.4388653746205995
buffer_area_ha_max,,,0.4388653746205995,,,0.4388653746205995
linear_length_m_count,,,1.0,,,1.0
linear_length_m_mean,,,411.3848655986122,,,411.3848655986122
linear_length_m_std,,,,,,
linear_length_m_min,,,411.3848655986122,,,411.3848655986122
linear_length_m_p25,,,411.3848655986122,,,411.3848655986122
linear_length_m_p50,,,411.3848655986122,,,411.3848655986122
linear_length_m_p75,,,411.3848655986122,,,411.3848655986122
linear_length_m_max,,,411.3848655986122,,,411.3848655986122
wetland_area_ha_count,,,,,5.0,5.0
wetland_area_ha_mean,,,,,0.645064104449151,0.645064104449151
wetland_area_ha_std,,,,,0.5102581171340238,0.5102581171340238
