field,s5-Residue Management (No-Till)(329),s5-Cover Crop(340),s5-Nutrient Management(590),s5-Constructed Wetland(656),s5-All CPS
scenario,5,5,5,5,5
cps,329,340,590,656,0
cps_name,Residue Management (No-Till),Cover Crop,Nutrient Management,Constructed Wetland,All CPS
bmp_count,502,186,308,4,1000
failures_count,122,47,71,0,240
treated_TN_count,502,186,308,4,1000
treated_TN_mean,832.1372760771222,736.1412107892215,700.7436999644664,1376.8245136038488,775.9915354409816
treated_TN_std,1912.8243736590478,1010.8425596827728,1002.2843048977325,2636.8895419666487,1535.8480760814082
treated_TN_min,0.23168969675287862,0.1169634626049436,0.009124277426787999,41.81377698697396,0.009124277426787999
treated_TN_p25,169.49371417505037,165.45623170595718,140.05302413591454,56.80166473732877,159.72130028972867
treated_TN_p50,385.4532836841295,425.0755199549968,371.91440762705827,66.68453788676771,378.5454687400801
treated_TN_p75,858.4174093743986,874.0484416811222,889.1230887332531,1386.7073867532877,866.4608045478071
treated_TN_max,26482.404680615182,7299.590873030002,8714.39887179916,5332.115201654886,26482.404680615182
removed_TN_count,502,186,308,4,1000
removed_TN_mean,55.09842071204102,218.67865303416892,215.18590818303147,378.2953625416373,136.12407783234028
removed_TN_std,128.11857172208502,353.34154241427035,350.6156659765384,716.6811274239127,278.2126658738997
removed_TN_min,0.012637163947811704,0.03652854045405528,0.0009260482413070048,13.51006030896452,0.0009260482413070048
removed_TN_p25,7.412312920091078,33.02720715197626,29.859883463167773,20.614139948997806,14.385009287512492
removed_TN_p50,22.468055313031144,88.13851379192798,79.86762663432168,23.18807392727464,43.616370926114186
removed_TN_p75,53.85316283427595,249.03857393735836,253.53743932201758,380.8692965199141,130.37092178298263
removed_TN_max,1959.9599790030377,2448.347164578475,3023.000367912194,1453.2952420030354,3023.000367912194
treated_TP_count,502,186,308,4,1000
treated_TP_mean,67.72279956110418,55.4009477967544,65.54106412237195,32.08673234212059,64.61641634892966
treated_TP_std,193.75260271417713,140.2844704031302,153.04040984453647,52.447760104994984,172.342032262927
treated_TP_min,0.01851041623284385,0.03678057814261943,6.974225367541837e-05,0.19521438535049493,6.974225367541837e-05
treated_TP_p25,6.760923637664811,8.158560821974513,7.313806690170958,1.5621581345642235,7.1880233173463095
treated_TP_p50,20.818207428399894,20.17168835203897,20.015207826834917,9.059553957950524,20.563874573385558
treated_TP_p75,60.49391622029332,54.086998186623134,60.0420244823966,39.58412816550689,59.241822000376686
treated_TP_max,3557.1874970688887,1656.0901676471256,1568.1040955009328,110.03260706723081,3557.1874970688887
removed_TP_count,502,186,308,4,1000
removed_TP_mean,9.81511382617079,9.373589433350356,14.868747785199075,9.179178955146373,11.286965809002805
removed_TP_std,21.262523902850173,31.153887675759137,38.923754409970364,15.858794164547007,29.640305262861748
removed_TP_min,0.0019994719023102136,0.0012658234674207038,4.298658867145813e-06,0.042595289494758715,4.298658867145813e-06
removed_TP_p25,0.7785165047214082,0.9844949309391087,1.1265958478864857,0.4799614032231159,0.885022750303261
removed_TP_p50,2.653762685779685,2.702465688984711,3.8928430419237747,1.89700125246049,3.0750865295698104
removed_TP_p75,9.14265426312059,7.319676815306321,12.9804641336192,10.596218804383748,9.496081451146424
removed_TP_max,237.02132661143477,386.68050801554483,366.5300976823242,32.880118026169754,386.68050801554483
efficiency_TN_count,502,186,308,4,1000
efficiency_TN_mean,0.9889447596221578,0.9878812036434762,0.9851040576868965,0.9324295815883312,0.9873379413019272
efficiency_TN_std,0.0873480146558867,0.09907315049776806,0.10982080092321898,0.13514083682333766,0.097057182542581
efficiency_TN_min,0.009030775189038205,0.004757195158919949,0.0004413391667982655,0.7297183263533247,0.0004413391667982655
efficiency_TN_p25,1.0,1.0,1.0,0.9324295815883312,1.0
efficiency_TN_p50,1.0,1.0,1.0,1.0,1.0
efficiency_TN_p75,1.0,1.0,1.0,1.0,1.0
efficiency_TN_max,1.0,1.0,1.0,1.0,1.0
efficiency_TP_count,502,186,308,4,1000
efficiency_TP_mean,0.9889447596221578,0.98769040605525,0.9851040576868965,0.9324295815883312,0.9873024529505171
efficiency_TP_std,0.0873480146558867,0.09988824027457303,0.10982080092321898,0.13514083682333766,0.09721160086454682
efficiency_TP_min,0.009030775189038205,0.004757195158919949,0.00044133916679826553,0.7297183263533247,0.00044133916679826553
efficiency_TP_p25,1.0,1.0,1.0,0.9324295815883312,1.0
efficiency_TP_p50,1.0,1.0,1.0,1.0,1.0
efficiency_TP_p75,1.0,1.0,1.0,1.0,1.0
efficiency_TP_max,1.0,1.0,1.0,1.0,1.0
cost_usd_count,502,186,308,4,1000
cost_usd_mean,872.8415123631729,2865.658369728692,1511.547208526309,168776.46240302388,2111.841285814048
cost_usd_std,967.1070443900306,2755.6464860935484,1470.8459976960883,239148.34735933147,16926.179260932397
cost_usd_min,0.36267199394534555,0.6156128264648103,0.039163670644704655,16978.741792352543,0.039163670644704655
cost_usd_p25,364.06212057197143,1149.6752962314827,573.881095393557,24116.46086080363,479.0337562885579
cost_usd_p50,628.5546239306989,2175.1043432481833,1083.6184987825554,68048.74546850153,880.402242177571
cost_usd_p75,1005.4699348976314,3523.4293390923262,1763.6932938933924,212708.7470107218,1698.7018128810487
cost_usd_max,11416.81057560327,16733.620797804353,9149.243112971768,522029.61688273994,522029.61688273994
total_cost_usd,438166.4392063128,533012.4567695367,465556.5402261032,675105.8496120955,2111841.2858140483
wetland_area_ha_count,,,,4.0,4.0
wetland_area_ha_mean,,,,1.181800847260133,1.181800847260133
wetland_area_ha_std,,,,1.5661744282657597,1.5661744282657597
wetland_area_ha_min,,,,0.2945709941500676,0.2945709941500676
wetland_area_ha_p25,,,,0.3361633087452778,0.3361633087452778
wetland_area_ha_p50,,,,0.4538599733622626,0.4538599733622626
wetland_area_ha_p75,,,,1.299497511877118,1.299497511877118
wetland_area_ha_max,,,,3.5249124481659395,3.5249124481659395
catchment_ratio_count,,,,4.0,4.0
catchment_ratio_mean,,,,6.161998046441668,6.161998046441668
catchment_ratio_std,,,,7.458255225952548,7.458255225952548
catchment_ratio_min,,,,1.084746216951026,1.084746216951026
catchment_ratio_p25,,,,1.6963121100336451,1.6963121100336451
catchment_ratio_p50,,,,3.216929007174963,3.216929007174963
catchment_ratio_p75,,,,7.682614943582985,7.682614943582985
catchment_ratio_max,,,,17.129387954465717,17.129387954465717
