2026-05-18 10:54:53,489 [DEBUG] Logger initialized
2026-05-18 10:54:53,489 [INFO] Starting model run
2026-05-18 10:54:53,489 [INFO] Config: C:\Users\GEVENSON\Data\bmp\basin-bmp-sim\examples\east_fork.yaml
2026-05-18 10:54:53,489 [INFO] Logging to: outputs\log_20260518_105453.txt
2026-05-18 10:54:53,715 [INFO] Scenario 1/3
2026-05-18 10:54:53,717 [DEBUG] Sampled value 23.2187 from stats={'min': np.float64(5.0), 'max': np.float64(30.0), 'mean': '15.0', 'p50': '15.0'} kind=yield low=0.0 high=None
2026-05-18 10:54:53,719 [DEBUG] Sampled value 1.81664 from stats={'min': np.float64(0.5), 'max': np.float64(5.0), 'mean': '2.0', 'p50': '2.0'} kind=yield low=0.0 high=None
2026-05-18 10:54:53,721 [DEBUG] Sampled value 329.299 from stats={'min': np.float64(50.0), 'max': np.float64(400.0), 'mean': '150.0', 'p50': '150.0'} kind=yield low=0.0 high=None
2026-05-18 10:54:53,723 [DEBUG] Sampled value 20.921 from stats={'min': np.float64(5.0), 'max': np.float64(30.0), 'mean': '15.0', 'p50': '15.0'} kind=yield low=0.0 high=None
2026-05-18 10:54:53,725 [DEBUG] Sampled value 0.782532 from stats={'min': np.float64(0.5), 'max': np.float64(5.0), 'mean': '2.0', 'p50': '2.0'} kind=yield low=0.0 high=None
2026-05-18 10:54:53,726 [DEBUG] Sampled value 387.811 from stats={'min': np.float64(50.0), 'max': np.float64(400.0), 'mean': '150.0', 'p50': '150.0'} kind=yield low=0.0 high=None
2026-05-18 10:54:53,728 [DEBUG] Sampled value 22.8342 from stats={'min': np.float64(5.0), 'max': np.float64(30.0), 'mean': '15.0', 'p50': '15.0'} kind=yield low=0.0 high=None
2026-05-18 10:54:53,730 [DEBUG] Sampled value 3.71639 from stats={'min': np.float64(0.5), 'max': np.float64(5.0), 'mean': '2.0', 'p50': '2.0'} kind=yield low=0.0 high=None
2026-05-18 10:54:53,732 [DEBUG] Sampled value 75.6227 from stats={'min': np.float64(50.0), 'max': np.float64(400.0), 'mean': '150.0', 'p50': '150.0'} kind=yield low=0.0 high=None
2026-05-18 10:54:53,733 [DEBUG] Sampled value 14.0077 from stats={'min': np.float64(5.0), 'max': np.float64(30.0), 'mean': '15.0', 'p50': '15.0'} kind=yield low=0.0 high=None
2026-05-18 10:54:53,735 [DEBUG] Sampled value 1.61239 from stats={'min': np.float64(0.5), 'max': np.float64(5.0), 'mean': '2.0', 'p50': '2.0'} kind=yield low=0.0 high=None
2026-05-18 10:54:53,736 [DEBUG] Sampled value 363.382 from stats={'min': np.float64(50.0), 'max': np.float64(400.0), 'mean': '15０.０', 'p50': '15０.０'} kind=yield low=0.0 high=None
